relative_path,absolute_path,filename,extension,size_bytes,sha1,role
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 1.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 1.pdf,dottiesdonuts 1.pdf,.pdf,164156,664cc1547af8c4f9a799c7ede80147366c5cf353,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 2.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 2.pdf,dottiesdonuts 2.pdf,.pdf,165295,cdc6285f25979c7f26a9f360d1a99b12d96140cf,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 3.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 3.pdf,dottiesdonuts 3.pdf,.pdf,148511,95af4c29239bf9453f8c52ebadb319528cd28fc3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_manayunk_certificate-website.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_manayunk_certificate-website.pdf,dottiesdonuts_manayunk_certificate-website.pdf,.pdf,140852,c681c6e942bee1ddadbe4b5ef0c26b854b5c7959,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_w.phila__certificate_2024 (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_w.phila__certificate_2024 (1) (1).pdf,dottiesdonuts_w.phila__certificate_2024 (1) (1).pdf,.pdf,148511,95af4c29239bf9453f8c52ebadb319528cd28fc3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_w.phila__certificate_2024.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_w.phila__certificate_2024.pdf,dottiesdonuts_w.phila__certificate_2024.pdf,.pdf,151931,6c5ade4a0aaa38929757efe5084b42246b774c93,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1) (1) (1).pdf,fitz_on_4th_2024 (1) (1) (1).pdf,.pdf,142351,1c64c87ece53452cc92d6db871f02b4c00253f49,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1).pdf,fitz_on_4th_2024 (1).pdf,.pdf,141960,3f220d363b5c262a80e0b6f4a74b120dd082334f,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/goldie 5 locations.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/goldie 5 locations.pdf,goldie 5 locations.pdf,.pdf,501801,781820cf0bafa2033af694cfdba57c79fe6b4f32,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024 (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024 (1) (1).pdf,goldie_fishtown_certificate-_2024 (1) (1).pdf,.pdf,144160,833d6ad1bbdd30b635f0800ed7e9a866614af07f,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024.pdf,goldie_fishtown_certificate-_2024.pdf,.pdf,152790,146e36966bdc7f244443b25ea09f21efb5790b02,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/hip_city_veg_ardmore_cert_2022 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/hip_city_veg_ardmore_cert_2022 (1).pdf,hip_city_veg_ardmore_cert_2022 (1).pdf,.pdf,85736,6e79984b01333d7357d720dd9d1e0f15624ae512,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/hipcityvegardmore_website.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/hipcityvegardmore_website.pdf,hipcityvegardmore_website.pdf,.pdf,139780,33e87394a99d0e1de71c7faa91c7611dd587977b,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/hipcityvegrittenhouse_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/hipcityvegrittenhouse_2024 (1).pdf,hipcityvegrittenhouse_2024 (1).pdf,.pdf,141329,2f848db90b7b72bc90f4cdf1ea1179f97c9c626a,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1) (1) (1).pdf,joy_cafe_certificate_2024revd (1) (1) (1).pdf,.pdf,144457,92aefe2756b5457a74be0b506357671f12c1347e,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1).pdf,joy_cafe_certificate_2024revd (1).pdf,.pdf,143079,b4f1553813fc7da9f2983d93a9912ef6e7e03b2f,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/kilwins_certificate_2024_-_website.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/kilwins_certificate_2024_-_website.pdf,kilwins_certificate_2024_-_website.pdf,.pdf,135582,bb5c12d72d934b661570895701a8f6f6eb5cf7c3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/luhv_vegan_deli_at_reading_terminal_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/luhv_vegan_deli_at_reading_terminal_2024 (1) (1) (1).pdf,luhv_vegan_deli_at_reading_terminal_2024 (1) (1) (1).pdf,.pdf,143632,1728858ab8c578a1d64c2b0ee107879e5b0afdfe,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/luhv_vegan_deli_at_reading_terminal_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/luhv_vegan_deli_at_reading_terminal_2024 (1).pdf,luhv_vegan_deli_at_reading_terminal_2024 (1).pdf,.pdf,142230,8b15aac24e01cb9fd527d0cc3a244e33b95ce072,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/mekor_pesach_at_home_services_2024.docx,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/mekor_pesach_at_home_services_2024.docx,mekor_pesach_at_home_services_2024.docx,.docx,20559,c8a52d34f86158e6de9ed144c2a6c10955f554f3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/p.s.___co._certification_2024 (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/p.s.___co._certification_2024 (1) (1).pdf,p.s.___co._certification_2024 (1) (1).pdf,.pdf,112099,7b8491501d6f0d69de106bac26ee143825ffac23,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/p.s.___co._certification_2024.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/p.s.___co._certification_2024.pdf,p.s.___co._certification_2024.pdf,.pdf,115076,792a420e4cbc81010784af4a86d167b440cc82ed,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/rabbi_hirsch__2017_sermon_excerpt-_pd.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/rabbi_hirsch__2017_sermon_excerpt-_pd.pdf,rabbi_hirsch__2017_sermon_excerpt-_pd.pdf,.pdf,72420,3304922893e7f4b39611fa60eacb945f48704e1b,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/rachels_pantry_certificate_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/rachels_pantry_certificate_2024 (1) (1) (1).pdf,rachels_pantry_certificate_2024 (1) (1) (1).pdf,.pdf,141839,71275decd316c08f753e24499320b2a194c7eb01,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/rachels_pantry_certificate_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/rachels_pantry_certificate_2024 (1).pdf,rachels_pantry_certificate_2024 (1).pdf,.pdf,140481,c07efcdc2922d3670d0f381402792ac2f2aec101,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/ritas_kosher_certificate_2024_-website (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/ritas_kosher_certificate_2024_-website (1).pdf,ritas_kosher_certificate_2024_-website (1).pdf,.pdf,129531,7d2b49623a5e9d5182cdbdc92a4180cd0d509b66,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/ritas_kosher_certificate_2024_-website.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/ritas_kosher_certificate_2024_-website.pdf,ritas_kosher_certificate_2024_-website.pdf,.pdf,129531,7d2b49623a5e9d5182cdbdc92a4180cd0d509b66,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/the_chillybanana_certificate_2024 (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/the_chillybanana_certificate_2024 (1) (1).pdf,the_chillybanana_certificate_2024 (1) (1).pdf,.pdf,145915,7f634fc356149fd16b45e64c7920111ee73b116e,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/the_chillybanana_certificate_2024.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/the_chillybanana_certificate_2024.pdf,the_chillybanana_certificate_2024.pdf,.pdf,149255,7947f53c0612f19f8520cdc92b9a4a870ef75405,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/unit_su_vege__certificate2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/unit_su_vege__certificate2024 (1).pdf,unit_su_vege__certificate2024 (1).pdf,.pdf,130914,820cd4e76b1a71cdcf47d5f58e46b927f9f1a993,ikc_certificate
Media-Images/Blog Posts Images/Cherry Hill_unzipped/20190928_145210.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/20190928_145210.jpg,20190928_145210.jpg,.jpg,46007,cdf3e265747d3eaf0d78db0f170b3435594985bc,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/2021-07-04.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/2021-07-04.jpg,2021-07-04.jpg,.jpg,54793,4394ef8195bd1a8ec7826e050c1e98610c9351a7,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/2022-01-20.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/2022-01-20.jpg,2022-01-20.jpg,.jpg,31159,82aa1306cecbd8c96a2cc5e4a1d21b7d60b2f774,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/2022-11-07.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/2022-11-07.jpg,2022-11-07.jpg,.jpg,48578,594b93ddbfea8079ebc04796e56236ef0f87bd4f,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/2023-01-05.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/2023-01-05.jpg,2023-01-05.jpg,.jpg,41052,e840ebd5841b7fecba203b26c5511e4a7c7954b6,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/2024-11-03.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/2024-11-03.jpg,2024-11-03.jpg,.jpg,46640,0ad451cc0fbd7ba40fba5bde2216d2e6ec94b864,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/MM outdoors.JPG,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/MM outdoors.JPG,MM outdoors.JPG,.jpg,134900,21c2df1d921241a8b75ac020057bce1cb274e819,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/PXL_20210724_223710198.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/PXL_20210724_223710198.jpg,PXL_20210724_223710198.jpg,.jpg,238408,608f67c73040d210127a7f6ba76a4053d66f5322,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/kexp-img-9683-edit_1.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/kexp-img-9683-edit_1.jpg,kexp-img-9683-edit_1.jpg,.jpg,17585,bd5924f18d37e979592efb7a2e1df9819955e7da,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/screenshot-from-2021-08-30-19-45-26_1.png,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/screenshot-from-2021-08-30-19-45-26_1.png,screenshot-from-2021-08-30-19-45-26_1.png,.png,138184,2987a537f98e3706e757c56b25b21b3f5d281b8a,blog_image
Media-Images/Blog Posts Images/Cherry Hill_unzipped/unnamed.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/Cherry Hill_unzipped/unnamed.jpg,unnamed.jpg,.jpg,61229,ad75409c43998fd29a8439502c22d3daeadd884b,blog_image
Media-Images/Blog Posts Images/City Center_unzipped/001_UPenn_int.JPG,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/City Center_unzipped/001_UPenn_int.JPG,001_UPenn_int.JPG,.jpg,40289,6d85a4166d229dbe02d2de90c55f4a84d960f2d1,blog_image
Media-Images/Blog Posts Images/City Center_unzipped/20.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/City Center_unzipped/20.jpg,20.jpg,.jpg,50974,a5ed43aac9799ffb0ed0badfb707fed35766ded3,blog_image
Media-Images/Blog Posts Images/City Center_unzipped/20170624-172056_orig (More Smaller).jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/City Center_unzipped/20170624-172056_orig (More Smaller).jpg,20170624-172056_orig (More Smaller).jpg,.jpg,41195,bd078f927ded01b8fcbe7454d65eaff4d15526c3,blog_image
Media-Images/Blog Posts Images/City Center_unzipped/2019-05-17.jpg,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Media-Images/Blog Posts Images/City Center_unzipped/2019-05-17.jpg,2019-05-17.jpg,.jpg,62654,fec840bd4554fc7e5f395dd773f0b9c6389efeb3,blog_image
